 Title Location eBaySite StartDateTime EndDateTime Category ListingType ItemCondition ListingSold ShippingLocations ShippingCost EndingPrice Currency
34 "Teenage Mutant Ninja Turtles Nintendo NES PAL A Preloved" Lambton,NSW,Australia EBAY-AU 2016-03-16T12:06:32.000Z 2016-03-26T07:32:06.000Z Games FixedPrice 5000 EndedWithoutSales Worldwide 0.0 29.9 AUD
35 "Teenage Mutant Ninja Turtles Nintendo NES PAL ⭐OZ SELLER GET IT FAST cart Only" "Avondale Heights,VIC,Australia" EBAY-AU 2016-03-03T19:48:45.000Z 2016-03-24T13:37:45.000Z Games StoreInventory 5000 EndedWithSales AU 0.0 28.9 AUD
36 "Teenage Mutant Ninja Turtles - TMNT - Nintendo NES - PAL - CLEANED & TESTED" Bringelly,NSW,Australia EBAY-AU 2016-03-19T06:39:54.000Z 2016-03-24T04:08:06.000Z Games StoreInventory 6000 EndedWithoutSales AU 0.0 27.99 AUD
37 "Teenage Mutant Ninja Turtles (Nintendo (NES), PAL)" Beckenham,WA,Australia EBAY-AU 2016-03-10T04:48:41.000Z 2016-03-14T05:39:29.000Z Games StoreInventory 5000 EndedWithSales Worldwide 0.0 24.95 AUD
38 "Teenage Mutant Ninja Turtles NES - PAL - COMPLETE - VC COND" "Allambie Heights,NSW,Australia" EBAY-AU 2016-03-05T04:56:12.000Z 2016-03-12T04:56:12.000Z Games Auction 4000 EndedWithSales AU 8.25 64.0 AUD
39 "Teenage Mutant Ninja Turtles Nintendo NES PAL Lot 1" "Henley Brook,WA,Australia" EBAY-AU 2016-03-06T16:18:36.000Z 2016-03-10T12:12:36.000Z Games StoreInventory 5000 EndedWithSales AU 0.0 28.5 AUD
40 "Nintendo NES Teenage Mutant Ninja Turtles.  Game + box + manual" "Mount Isa,QLD,Australia" EBAY-AU 2016-03-09T01:09:23.000Z 2016-03-10T01:09:23.000Z Games Auction 5000 EndedWithSales AU 8.0 53.8 AUD
41 "4x Nintendo NES PAL Games (Super Mario/Duck Hunt, Battletoads, Die Hard & TMNT)" Gladstone,QLD,Australia EBAY-AU 2016-02-28T07:19:09.000Z 2016-03-09T07:19:09.000Z Games Auction 5000 EndedWithSales AU 8.25 86.0 AUD
42 "NES Teenage Mutant Ninja Turtles Cartridge" "Acacia Ridge,QLD,Australia" EBAY-AU 2016-02-29T07:15:21.000Z 2016-03-06T12:06:59.000Z Games StoreInventory 5000 EndedWithSales AU 0.0 24.95 AUD
43 "NES Nintendo PAL A AUS Seller Teenage Mutant Ninja Turtles Maniac Mansion" Rye,VIC,Australia EBAY-AU 2016-02-13T10:06:14.000Z 2016-03-05T03:05:24.000Z Games StoreInventory 5000 EndedWithSales AU 0.0 28.8 AUD
44 "NINTENDO NES CONSOLE WITH 3 CONTROLS + ZAPPER + SUPER MARIO + TMNT + ALL LEADS" Ballarat,VIC,Australia EBAY-AU 2016-02-22T22:17:30.000Z 2016-03-03T22:17:30.000Z Consoles Auction 3000 EndedWithSales Worldwide 29.4 151.5 AUD
45 "Teenage Mutant Ninja Turtles TMNT Boxed Nintendo NES Game with Book PAL ☆☆☆☆☆☆☆" "Sunshine West,VIC,Australia" EBAY-AU 2016-02-10T04:19:59.000Z 2016-02-28T20:43:34.000Z Games StoreInventory 4000 EndedWithSales AU 0.0 139.99 AUD
46 "TEENAGE MUTANT NINJA TURTLES | NINTENDO NES | CART ONLY | PAL-A | NES-U2-ITA" Yagoona,NSW,Australia EBAY-AU 2016-01-29T23:04:24.000Z 2016-02-27T07:22:51.000Z Games StoreInventory 4000 EndedWithSales AU 8.5 24.99 AUD
47 "Turtles. Nintendo NES. Arcade. Pal.  TMNT. " Howrah,TAS,Australia EBAY-AU 2016-02-25T20:21:27.000Z 2016-02-26T01:56:25.000Z Games StoreInventory 5000 EndedWithSales AU 8.25 75.0 AUD
48 "Teenage Mutant Ninja Turtles Nintendo NES PAL ⭐OZ SELLER GET IT FAST cart Only" "Avondale Heights,VIC,Australia" EBAY-AU 2016-02-03T18:57:53.000Z 2016-02-24T05:15:29.000Z Games StoreInventory 5000 EndedWithSales AU 0.0 32.99 AUD
49 "TEENAGE MUTANT NINJA TURTLES - TMNT - NINTENDO - NES - PAL-A" Bankstown,NSW,Australia EBAY-AU 2016-02-15T22:37:52.000Z 2016-02-22T22:50:35.000Z Games StoreInventory 4000 EndedWithSales Worldwide 9.95 70.0 AUD
50 "Teenage Mutant Ninja Turtles Nintendo nes pal" "Davoren Park,SA,Australia" EBAY-AU 2016-02-15T10:03:55.000Z 2016-02-22T10:03:55.000Z Games Auction 6000 EndedWithSales AU 8.0 20.01 AUD
51 "6x Boxed Nintendo NES PAL Games Lot (TMNT, Trog, Bayou Billy, Crackout & more)" Gladstone,QLD,Australia EBAY-AU 2016-02-11T09:46:40.000Z 2016-02-21T09:46:40.000Z Games Auction 6000 EndedWithSales AU 13.4 64.0 AUD
52 "Teenage Mutant Ninja Turtles TMNT Nintendo NES (SENT NEXT DAY)" Chinchilla,QLD,Australia EBAY-AU 2016-02-15T09:33:12.000Z 2016-02-16T20:16:46.000Z Games StoreInventory 5000 EndedWithSales Worldwide 0.0 25.5 AUD
53 "Teenage Mutant Ninja Turtles- Nintendo Entertainment System- Cartridge Only - " Padstow,NSW,Australia EBAY-AU 2016-02-06T07:09:35.000Z 2016-02-16T07:09:35.000Z Games Auction 4000 EndedWithSales AU 8.25 22.5 AUD
54 "3 NINTENDO GAMES - NES - RAD GRAVITY, METROID AND TEENAGE MUTANT NINJA TURTLES" Australia EBAY-AU 2016-02-07T09:47:23.000Z 2016-02-14T09:47:23.000Z Games Auction 4000 EndedWithSales AU 9.0 53.0 AUD
55 "Teenage Mutant Ninja Turtles Vintage NES Nintendo Game in Box with Manual!" Glenroy,VIC,Australia EBAY-AU 2016-02-07T09:15:11.000Z 2016-02-12T09:15:11.000Z Games Auction 4000 EndedWithSales AU 12.0 56.0 AUD
56 "Teenage Mutant Ninja Turtles - TMNT - Nintendo NES PAL - Boxed and Complete" Beerwah,QLD,Australia EBAY-AU 2016-02-03T08:18:36.000Z 2016-02-09T06:06:16.000Z Games FixedPrice 5000 EndedWithSales AU 12.5 99.95 AUD
