Title,Company,Rarity,Price ($)
Klax,Tengen,B-,3
Knight Rider,Acclaim,B-,3
Krazy Kreatures,American Video,B+,5
Krion Conquest,Vic Tokai,B,2
Krustys Fun House,Acclaim,C+,4
Kung Fu,Nintendo,E,3
Kung Fu Heroes,Culture Brain,C,2
L'Empereur,Koei,B+,15
Laser Invasion (Gun Required),Konami,B-,3
"Last Action Hero, The",Imagesoft,B+,3
"Last Ninja, The",Jaleco,B,4
"Last Starfighter, The",Mindscape,B-,3
Lee Trevino's Fighting Golf,SNK,C,2
Legacy of the Wizard,Broderbund,C-,2
"Legend of Kage, The",Taito,C-,3
The Legend of Zelda,Nintendo,E,8
Legendary Wings,Capcom,C,3
Legends of the Diamond,Bandai,B+,4
Lemmings,Sunsoft,B+,11
Lethal Weapon,Ocean,B+,3
Life Force,Konami,C,4
Linus Spacehead,Camerica,B,5
Linus Spacehead (Aladdin Cart),Camerica,A+,35+ ?
Little League Baseball,SNK,B-,7
"Little Mermaid, The",Capcom,C,4
Little Nemo,Capcom,B-,4
Little Ninja Brothers,Culture Brain,B+,7
Little Samson,Taito,A,38
Lode Runner,Broderbund,B-,3
"Lone Ranger, The (Gun Optional)",Konami,B-,3
Loopz,Mindscape,B,3
Low G Man,Taxan,C+,3
Lunar Pool,FCI,C+,3
M C Kids,Virgin,C+,4
M.U.L.E.,Mindscape,B-,3
Mach Rider,Nintendo,C-,3
Mad Max,Mindscape,C+,4
"Mafat Conspiracy, The",Vic Tokai,C+,3
Magic Darts,Romstar,B,5
Magic Johnson's Fast Break,Tradewest,C,2
Magic of Scheherazade,Culture Brain,C+,3
Magician,Taxan,A-,10
Magmax,FCI,C-,2
Major League Baseball,LJN,E,2
Maniac Mansion,Jaleco,C,9
Mappyland,Taxan,B-,3
Marble Madness,Milton Bradley,C,4
Mario Brothers,Nintendo,B-,5
Mario Is Missing,Mindscape,B,6
Mario's Time Machine,Mindscape,A-,8
Marvel's X-Men,LJN,B-,3
Master Chu and the Drunken Fu,Color Dreams,B,6
Maxi 15,American Video,A,25
Mechanized Attack (Gun Required),SNK,C,3
Mega Man,Capcom,B-,15
Mega Man 2,Capcom,C,10
Mega Man 3,Capcom,C,12
Mega Man 4,Capcom,B-,15
Mega Man 5,Capcom,B,14
Mega Man 6,Nintendo,B-,16
Menace Beach,Color Dreams,A-,27
Mendel Palace,Hudson,B,3
Mermaids of Atlantis,American Video,B+,7
Metal Fighter,Color Dreams,B,4
Metal Gear,Ultra,D,5
Metal Mech,Jaleco,B-,3
Metal Storm,Irem,A-,5
Metroid,Nintendo,D,6
Michael Andretti's World GP,American Sammy,B-,2
Mickey Mousecapade,Capcom,C,3
Mickey's Adventure in Numberland,Hi Tech,B+,9
Mickey's Safari in Letterland,Hi Tech,B,3
Micro Machines,Camerica,A-,13
Micro Machines (Aladdin Cart),Camerica,A+,20+ ?
MIG-29,Camerica,C+,3
Might & Magic,American Sammy,B+,13
Mighty Bomb Jack,Tecmo,B,5
Mighty Final Fight,Capcom,B+,8
Mike Tysons Punch Out,Nintendo,D,7
Millipede,HAL,B-,4
Milon's Secret Castle,Hudson,C,3
Miracle Piano System (Accessory),Mindscape,A-,40+ ?
Mission Cobra,Bunch Games,A-,10
Mission: Impossible,Ultra,C+,2
Monopoly,Parker Brothers,C+,5
Monster Party,Bandai,B-,3
Monster Truck Rally,INTV,B,6
Monster in My Pocket,Konami,B,5
Moon Ranger,Bunch Games,A-,15
Motor City Patrol,Matchbox,B,6
Ms. Pacman,Namco,B+,7
Ms. Pacman,Tengen,B+,13
Muppet Adventure,Hi Tech,B,4
MUSCLE,Bandai,B-,5
Mutant Virus,American Softworks,B+,3
Mystery Quest,Taxan,C+,4
